name,profile
Prof. Vijay K. Dhir,"Prof. Dhir obtained his Bachelor of Science from Punjab Engineering College, Chandigarh in 1965 and an M.Tech from IIT Kanpur in 1968. Following it, he went abroad for higher studies and obtained his doctoral degree from the University of Kentucky in 1972. He joined the Department of Mechanical and Aerospace Engineering at the University of California, Los Angeles, as a faculty. From 1988 to 1991, Prof. Dhir served as a vice- chair of the department and later as a chair of that department from 1994 to 2000. In July 2001, he was appointed as the school's associate dean and in March 2003 took over as the Dean of the UCLA Henry Samueli School of Engineering and Applied Science. Prof. Vijay K Dhir's prime areas of research have been microgravity heat transfer, two-phase heat transfer, thermal hydraulics of nuclear reactors and soil remediation. At the Boiling Heat Transfer Lab at UCLA, he has done some path breaking research to understand the complex process of boiling to design cooling systems for spacecraft and for systems on earth. He has been a part of some very crucial experiments, for instance, in a NASA research program, he led a team of expert researchers to study the effects of microgravity on boiling. The experiments conducted aboard NASA's KC-135 parabolic aircraft and International Space Station (ISS) brought forth a completely new aspect of the physics of boiling that has helped the scientists worldwide to better understand the process of boiling in microgravity.



Prof. Dhir's pioneering work has won him several prestigious awards and honors. In 2004, he was felicitated with the prestigious Max Jakob Memorial Award and therefore was inducted into the University of Kentucky's Engineering Hall of Distinction. He has authored 350+ papers published in journals and proceedings of conferences. From 2000 to 2005, he served as a senior technical editor for the ASME Journal of Heat Transfer.

He has received several honors and awards. He is a member of the National Academy of Engineering (NAE). He is an honorary member of American Society of Mechanical Engineers (ASME). He is recipient of Heat Transfer Memorial Award of ASME and Max Jakob Award of ASME and American Institute of Chemical Engineers (AIChE). He has also received Donald Q. Kern Award of AIChE and Thermal Hydraulics Achievement Award of American Nuclear Society (ANS). In addition, he has received an honorary doctorate from University of Kentucky, Lexington, KY.

Besides numerous research accolades, Prof. Dhir has made a significant contribution towards society through his innovative outreach initiatives to encourage high-school students to pursue careers in science and engineering. In 2016, the Henry Samueli School of Engineering and Applied Science UCLA created the Vijay K. Dhir Chair in Engineering to honor contributions to the university.

In 2018, IIT Kanpur conferred upon him the prestigious Distinguished Alumnus Award for his academic excellence."
Prof. G. Ravindra Kumar,"Prof. G. Ravindra Kumar obtained his B.E. (Hons) in Mechanical Engineering and M.Sc. (Hons) in Physics in 1983 from the Birla Institute of Technology and Science, Pilani, Rajasthan, India. He then joined the PhD program in Physics at IIT Kanpur and completed it in 1990. After a year-long postdoctoral work at the institute, he joined the Department of Atomic and Molecular Physics at TIFR, in the group now known as UPHILL. Currently, he is a Senior Professor at TIFR. Prof. Kumar's research areas primarily include studies and interaction of intense, ultrashort pulses of light with single molecules; studies on the behavior of hot, dense plasmas created by intense, femtosecond light pulses; and search for better nonlinear optical materials. At TIFR, he has established a strong laboratory for studying the physics of hot dense matter produced by ultra-short laser pulses. Some of his noteworthy findings include the first demonstration of ultrashort, giant magnetic pulses in dense solid plasmas, enhancement of light coupling and hard X-ray emission from nanostructured surfaces. He was one of the principal investigators of the experiment done at TIFR in collaboration with Rutherford Appleton Labs, U.K. which highlighted that femtosecond laser pulses kicked electrons to speeds faster than lights within a glass target. Prof. Kumar's research findings have significant implications for laboratory testing of astrophysical scenarios like supernova explosions and high energy particle production.



Prof. Kumar's work has won him numerous prestigious awards. On winning the Infosys Prize in Physical Sciences in 2015, he said, ""Experimental science needs a lot of motivation, a can-do spirit, and passion. It needs a tremendous amount of patience and it needs an ability to interface with lots of things. And the biggest thing is persistence. If you don't do good experimental science, there is no good technology."" He is also a Fellow of the Indian Academy of Sciences and the Indian National Science Academy (INSA); Member of the Optical Society of America; Life Member of the Indian Laser Association, Plasma Science Society of India, Indian Society of Atomic and Molecular Physics and Indian Society for Mass Spectrometry. He serves on the International Committee on Ultra-High Intensity Lasers of the International Union of Pure and Applied Physics. He is the recipient of the prestigious IITK Distinguished Alumnus Award 2018."
Mr. Narayan Murthy,"Mr. Nagavara Ramarao Narayana Murthy, commonly referred to as Narayan Murthy was born on 20 August 1946, in Sidlaghatta, Karnataka, in a middle-class family. Mr. Narayana attended a government school and pursued his B.Tech degree from the University of Mysore and Masters from IIT Kanpur in 1969.Mr. Murthy started his career at IIM Ahmedabad as the chief systems programmer. He started a company named Softronics. When that company failed after about a year and a half, he joined Patni Computer Systems in Pune. Blessed with a brilliant mind and astute business sense Mr. Murthy and six software professionals founded Infosys in 1981 with an initial capital injection of Rs 10,000, which was provided by his wife Sudha Murthy. Infosys is a global software consulting company headquartered in Bangalore, Mr. Murthy served as the CEO of Infosys during 1981 - 2002, as the Chairman and Chief Mentor during 1981 - 2011, and as the Chairman Emeritus during August 2011 - May 2013. Under his leadership, Infosys was listed on NASDAQ in 1999. Mr. Murthy articulated, designed, and implemented the Global Delivery Model, which has become the foundation for the huge success in IT services outsourcing from India. He has led key corporate governance initiatives in India. He is an IT advisor to several Asian countries.



In 1996, it started its office in Europe, Milton Keynes, UK and it was selected as the ""The India's Most Respected Company"" by the Business World Survey in 2002. Now, Infosys and its subsidiaries have 130,820 employees.

Mr. Murthy serves as an independent director on the corporate board of HSBC and has served as a director on the boards of DBS Bank, Unilever, ICICI and NDTV. He also serves as a member of the advisory boards and councils of several educational and philanthropic institutions, including Cornell University, INSEAD, ESSEC, Ford Foundation, the UN Foundation, the Indo-British Partnership, Asian Institute of Management, a trustee of the Infosys Prize, a trustee of the Institute for Advanced Study in Princeton, and as a trustee of the Rhodes Trust. He is also Chairman of the Governing board of Public Health Foundation of India. He serves on the Asia Pacific Advisory Board of British Telecommunications. In 2005 he co-chaired the World Economic Forum in Davos.

Mr. Murthy created Narayana R Murthy Foundation at IIT Kanpur. Under this foundation we have several activities. A support is given to 13 Academic Departments and 5 IDPs every year and 2 new faculty members in CSE Dept are given initiation grant. This foundation also provides support for hostel renovation, CSE Building maintenance, Research I Foundation which supports various initiatives of CSE Dept and also provides fellowship to PhD students in the name of Infosys Fellowship.

Mr. Murthy was conferred with the IIT Kanpur's Distinguished Alumnus Award for creating and building an outstanding entrepreneurial venture putting India on the international software map."
Mr. Arvind Pradhan,"Mr. Arvind Pradhan is an award-winning entrepreneur armed with 25+ years of rich experience of working in different manufacturing environments across the globe. Currently, he serves as the President and CEO of Camaco LLC. IIT Kanpur has conferred upon him the Distinguished Alumnus Award 2016 for his entrepreneurial excellence.Mr. Arvind Pradhan received his bachelor's degree in Mechanical Engineering from IIT Kanpur in 1974. Later, he went to Case Western Reserve University in Cleveland, Ohio where he studied for a Master's degree in the same subject and an MBA degree as well.

Since then, Mr. Pradhan has held several management positions in the areas of engineering, plant management, project management, materials management, new facility program management and financial audits and analysis. He has worked with organizations like Corning Glass Works and Eaton Corporation. As a part of Eaton's corporate group, he worked extensively on due diligence assignments, acquisition strategy and analysis, and new acquisition management. Before taking plunge as an entrepreneur, for several years, he ran his own manufacturing consulting practice supporting Fortune 500 companies. His capabilities include strategic direction development, manufacturing facility redesign, new systems development, supplier alliances, training and personnel development.



In 2013, Mr. Pradhan won the Ernst & Young Entrepreneur Award under the automotive category for Michigan and Northwest Ohio region. The award recognizes the outstanding high-growth entrepreneurs who demonstrate excellence and extraordinary success in areas of innovation, financial performance and personal commitment to their businesses and communities."
Mr. Naveen Tewari,"Mr. Naveen Tewari obtained his bachelor's degree from Indian Institute of Technology Kanpur and earned his Master's in Business Administration (MBA) from Harvard Business School (HBS). At HBS, he was a recipient of the ""Dean's Award,"" the highest student honor, for his exceptional leadership and contribution. Mr. Tewari started his career at McKinsey & Company, where he worked on developing the go-to-market strategy for a large Indian conglomerate's entry into the telecom sector. While working there, he also had the opportunity to work with the top management of various technology companies on key business issues. Thereafter, he joined Charles River Ventures (CRV), a top tier VC firm focusing on early stage investments in the software and communications space. Shri Tewari worked with CRV on developing their India investment strategy. He also worked briefly with a mobile VoIP startup in the Silicon Valley."
Dr. Sumit D. Chowdhury,"Dr. Sumit Dutta Chowdhury is an Indian entrepreneur, a business executive and an author.Currently, he serves as the Managing Director and founder of the Gaia Smart Cities, an IoT and AI company focused on telecom and ICT solutions for smart cities and smart sites. He isworking with several cities in India to define their Smart Cities solutions and building unique propositions to solve urban problems in the cities.Dr. Chowdhury did his B.Tech. in Electrical Engineering from IIT Kanpur in 1992, and subsequently went on to earn his MS in Electronics and Communications Engineering and PhD in Business Administration & Management Policy degrees from Carnegie Mellon University in Pittsburgh, USA. Dr. Chowdhury started his career as a Project Executive with Philips India. Post his Ph.D. in the US, he joined KPMG. During his career, he rose quickly from a Consultant, to become one of the youngest Partners of KPMG in the US. Subsequently, he worked in several leadership roles in BearingPoint and KPMG in US, Australia and with Reliance Industries, IBM, Reliance ADAG, in India. While working with BearingPoint, he led the system integration practice for major companies, including Vodafone, British Telecom, Verizon, Singtel, Australia Post, BHP, Coles Myer, National Australia Bank, Cadbury Schweppes and GE Capital. He served as the CEO of BearingPoint in Australia before moving to India in 2006.


In 2012, Dr. Chowdhury joined Reliance Jio where he worked as the Chief Information Officer (CIO) and also became the President of the Enterprise Business unit. He also had astint as the VP and Partner of IBM Global Services in India. He was also the CIO of Reliance Communications during its growth phase. He has also served on the Board of Directors of Tele Management Forum (TMF) and as the founder of Digital Bridge Foundation -a non- profit organization which helps bridge the Digital Divide in India through computer-assisted constructivist education. Dr. Chowdhury has held CXO roles across several Global companies and is a Visiting Faculty and Member of Dean's Advisory Committee at Carnegie Mellon University. He is a Graduate of the Australian Institute of Company Directors and also a certified Independent Director in India. He sits on the Board of ABM Knowledgeware and Metrology Data Limited (a Division of BARC).



Currently, Dr. Chowdhury serves as the Managing Director and Founder of the Gaia Smart Cities, an IoT and AI company focused on telecom and ICT solutions for smart cities and smart sites. He is working with several cities in India to define their Smart Cities solutions and building unique propositions to solve urban problems in the cities. He is also the technical advisor of BARC, India. He was also contracted as the CTO of Brookfield Properties in India. He is also the founder of SesoVera Inc. a US incorporated Edge compute AI platform and solutions company.

Being an entrepreneur at heart, Dr. Chowdhury has been mentoring, angel funding, and incubating several start-up companies in diverse areas in India. He is serving on the Board of 4 Start-ups. He is associated with NEN, Total Start, Business World Accelerate programs and is a part of Mumbai Angels & CIO Angels. He is the author of a bestselling career management book titled 'Rules of the Game' published by Bloomsbury India. The book empowers readers to enhance productivity and fast-track their careers. He is also a regular speaker on the TEDx platform."
Mr. Dheeraj Pandey,"Mr. Dheeraj Pandey has been conferred with the distinguished alumnus award of Indian Institute of Technology, Jaipur for his outstanding enterprising skills exhibited during founding and operation of one of the world's most promising enterprises in the field of development and delivery of invisible computing infrastructure comprising storage, computation and virtualization.Mr. Dheeraj Pandey did B.Tech. in Computer Science and Engineering from the Indian Institute of Technology, Kanpur in 1997, where he was adjudged the best all rounder among the then graduating students in all disciplines. Mr Pandey obtained his masters' degree in Computer Science from the University of Texas at Austin.

Dheeraj is the co-founder and the CEO of Nutanix. Nutanix, a business of cloud data centers, is now seen as one of the most promising companies at Silicon Valley. The ""Nutanix extreme computing platform"" allows enterprises to store their data remotely on a flexible number of servers as it scales. The Nutanix solution uses commodity computing servers which run as standard hypervisor each, and the Nutanix operating system (NOS). Each server contains Intel processors, memory, solid-state drives and traditional hard drives, and when added to a cluster, aggregate storage resources into a single storage pool. Capacity and compute nodes can be added incrementally leading to a scalable design.



In Silicon Valley parlance, Nutanix is a unicorn. The term refers not to the mythical beast but a private company that has a valuation of more than $1 billion. Nutanix, set up in 2009, crossed this milestone in January 2014, within four years of its start, and only within two years of selling. It was valued again at $2 billion in August 2014. Nutanix raised $241 million in two successive rounds D and E from investors and venture capitalists, such as Riverwood Capital, SAP ventures, Morgan Stanley Expansion Capital, Goldman Sachs, Greenspring Associates, Khosla Ventures, Lightspeed Ventures and a few others.
Dheeraj has over 12 years of experience working at enterprise technology companies. Prior to founding Nutanix, Dheeraj was Vice-President of Engineering at Aster Data where he built the engineering team from ground up, overseeing the development of multiple releases of the product. Prior to Aster Data, Dheeraj was at Oracle where he managed the development of storage engine for oracle database and oracle exadata."
Mr. Yadupati Singhania,"Late Mr. Yadupati Singhania was conferred with the distinguished alumnus award from Indian Institute of Technology Kanpur for his outstanding enterprising skills in founding and revolutionizing the white cement industry in the country. Mr. Singhania was a B.Tech (Year 1977) in Civil Engineering from IIT Kanpur.For the first time ever in the world, in the year 1984, Mr. Yadupati Singhania set up a white cement plant using limestone, by a dry process. In 1987, J.K. white cement became the first manufacturing entity in the world to install a fuzzy logic system to computerize kiln operations.Today J.K. cement is a multi-locational cement manufacturer with a presence both in grey and white cement segments. Its five plants across Rajasthan and Karnataka have a combined grey cement capacity of 10 MnTPA and a white cement capacity of 0.60 MnTPA. The company also has a captive power generation capacity of more than 100 MW spread across its plants. The company has extended its manufacturing capacity overseas at Fujairah (UAE) in 2014 which is a dual process plant producing both grey and white cement. At present, J.K. Cement Ltd, is the second largest producer of white cement in the world.

Besides his major involvement with J.K. cement, he has been closely associated with several professional and social organizations like Kanpur Productivity Council, National Council for cement and building materials, Cement Manufacturers Association, Rotary Club, environmental protection and productivity trust, Uttar Pradesh Cricket Association, Kanpur, etc. He has been very active in promoting education in various parts of the country. This is reflected in his deep association with Lala Kamlapat Singhania Education Centre-Gotan; Sir Padampat Singhania University-Udaipur; Dr. Gaur Hari Singhania Institute of Management & Research (GHS-IMR), Kanpur; J.K. centre for technician training, Kanpur; regional training centre, Nimbahera and J.K. Industrial training centre, Kanpur. He has also made a significant contribution and held important posts in various industrial forums and merchant chamber in the past.

As a successful entrepreneur and visionary, Mr. Singhania has been instrumental in the introduction of international quality white cement in the country and has contributed significantly in evolving India's cement industry for over three decades."
Mr. Vishnu Agarwal,"Vishnu Agarwal is the Chief Managing Director of Technical Associates Limited. Founded in 1967 with a vision to continuously engineer new, innovative and relevant solutions for meeting the energy requirements of tomorrow, the company has grown into a nationally respected and known Power Transformer manufacturing company. IIT Kanpur has conferred upon him the Distinguished Alumnus Award 2016 for Entrepreneurial excellence.Vishnu Agarwal received his B.Tech. degree in Electrical Engineering from IIT Kanpur in 1966. From there on, he embarked on an entrepreneurial journey and founded Technical Associates Ltd. in 1967. His father, Mr. Ram Agarwal, played a vital role in shaping up the vision and ideology of the company. The company intended to offer solutions spanning the full length of Transmission and Distribution opportunities.

In 1969, the company bagged its first order for manufacturing 5kVA, 11KV Distribution Transformers. In 1973, it established its present manufacturing location at Ismailganj in Lucknow. Gradually, it started expanding its base and set up its first transformer unit in Punjab at Sangrur in 1979. In 1991, it became the first transformer manufacturers in India to get a comprehensive ISO 9000 certification for integrated design, manufacturing and testing processes for transformers, including processing of raw materials. In 2006, the company further expanded its customer offerings and set up the Turnkey Power Projects division for executing Transmission and Distribution EPC projects. In 2011, TAL executed its first export order for Power Transformers for ZESCO, Zambia.

TAL is one of the few Indian transformer manufactures who have successfully grown into an established, recognized Power Transformer manufacturer owing to heavy investments in design, engineering and knowledge building. It has so far supplied more than 600,000 (approx. 50,000 MVA) transformers which are in active service in India. It is also one of the first transformer manufacturers in the country to have set up integrated facilities for processing of CRGO core, slitting, cutting and annealing, conductor manufacturing (drawing, annealing and paper covering), transformer Oil processing, tank fabrication, core assembly, winding, assembling and tanking. This has allowed it to have a stronger control on what goes inside the transformer and reduce dependence on external suppliers, thereby ensuring delivery timelines.

As the company prepares for its next stage of growth, it is focussed on leveraging its past-experience, knowledge and credentials to benchmark itself against global leaders, and to build continuous value for its customers, employees, vendors and shareholders. The entire success of the company rests on the shoulders of Mr. Agarwal and his capable team. He continues to direct the company towards manufacturing products and services that will deliver superior performance and hence contribute to the growth and welfare of society. He is also serving as the President of Executive Council at Indian Electrical & Electronics Manufacturers' Association (IEEMA)."
Mr. Pradeep Sindhu,"Mr. Pradeep Sindhu is the man behind Juniper Networks, one of the most established names in offering fundamentally unique solutions to the challenges of the global network. After setting up the company in 1996, Mr. Sindhu chose to play the role of a CTO over a CEO and designed the company's technology roadmap that steered Juniper Networks to phenomenal success.
Pradeep Sindhu stands out not only for his technical brilliance but also for his entrepreneurial vision. In June 2010, he received the Morgan Stanley Leadership Award for Global Commerce at IDG''s Computerworld Honors Program held in Washington, D.C.
""The theoretical background and breadth of knowledge that I gained have let me do things I otherwise would not have been able to do.""Hailing from an army background, Pradeep Sindhu was expected to join Indian Administrative Services (IAS). But, he had a different dream. Much against the wishes of his father, he joined IIT Kanpur in 1970 to study electrical engineering. As was the norm those days, he applied abroad for higher studies and got accepted at the University of Hawaii. There began his affair with networking and computing. In 1976, his quest for in-depth knowledge about the field took him to Carnegie Mellon University where he pursued his masters and doctorate in computer science with a focus on high-performance multiprocessors.

In 1984, Mr. Sindhu joined Xerox's Palo Alto Research Center (PARC) as a research scientist. During his 11 years of association with the research center, he played several key roles in designing and developing tools for VLSI and high-speed interconnects for shared-memory multiprocessors which led to the commercial development of Sun Microsystems' first high-performance multiprocessor system family including the SS1000 and SS2000.

However, in 1995, he realized that it was time for him to leave the company and start his own venture. He was more of an inventor who wanted to take his ideas to the market. After months of brainstorming, he finally decided to start a company to supply high-performance routers to support the quickly emerging Internet. From September to November 1995, he worked on a design. Then began the hunt for VCs as the idea needed huge investment. After being turned down by three VCs, he finally won over Vinod Khosla at Kleiner Perkins Caufield & Byers who decided to take a chance on the company.

On 25th June 1999, Juniper Networks went public. From there on, Juniper Networks has continued to develop innovative products and technologies thus remaining at the forefront of high-performance networking. With 88 offices in 43 countries and a revenue of $4.8 billion, the company has been ranked within the top 100 of the 500 largest publicly-traded companies in the US on the 2016 Newsweek Green Rankings.

Today, Mr. Pradeep Sindhu is arguably considered the technology world's most eminent CTO. In spite of having a net worth of $800 million, he continues to relentlessly pursue his passion for technology and innovation."
Late Mr. Umang Gupta,"Late Mr. Umang Gupta was an Indian entrepreneur, Silicon Valley CEO and former CEO of Keynote Systems. In 1997, he was conferred with the Distinguished Alumnus Award of IIT Kanpur for his outstanding achievements in Information technology & entrepreneurship. In 1971, he obtained his B.Tech. degree in Chemical Engineering from the Indian Institute of Technology Kanpur.Late Mr. Gupta began his career in 1973 as a Systems Engineer in the data processing division of IBM Corporation. Soon, he rose to senior marketing management positions before leaving IBM. During his chequered career, he worked in several positions. He was the Director of Marketing for Magnuson Computers, a manufacturer of IBM plug-compatible mainframes. He then joined Oracle Corporation as their 17th employee and served as Vice President and General Manager of the Microcomputer Products Division through 1984. At Oracle he is credited with writing the first business plan for the company. Subsequently, he started Gupta Corporation (now known as Keynote Systems Inc.), co-funded by Bruce-Scott, a developer of the original Oracle DBMS.

In 1988, he co-authored the SQL programmers guide, an introductory to tutorial to the fundamental concepts, commands and keywords of SQL. Structured query language (SQL) is the brain child of Mr. Gupta and is today the de facto standard for all DBMS applications. He was a leading authority in the area of SQL database management using PC's LANs and main frame computers. He has written numerous papers and given many speeches on the topic in the United States and around the world.



Mr. Gupta is the former Chairman of the Board and Chief Executive Officer of Keynote Systems, Inc. He served in that capacity from December 1997 to August 2013. Keynote Systems is a Silicon Valley, California Company that employs approximately 500 people and had a revenue of $125.0 million in fiscal year 2013. The company develops and sells services, hardware and software to measure, test, assure and improve the quality of service of the Internet and of mobile communications. It was sold to Thoma Bravo, a private equity company in August 2013."
Mr. Varun Khaitan,"Mr. Varun Khaitan is the Co-founder and Chief Operating Officer of Urban Company (formerly known as UrbanClap), an online platform connecting customers with the right professional services. He is responsible for business operations and partner success at the Company. Urban Company is Asia's largest at-home services marketplace with a presence in India, UAE, Australia, Singapore, and the United Kingdom. Using the company's app, consumers can avail themselves much wellness, and home repairs and maintenance services.Mr. Khaitan received his bachelor's degree in Electrical Engineering from IIT Kanpur in 2009. After his brief but enriching experience with the industry in the US, he returned to India to start his entrepreneurial journey. After launching Cinemabox in 2014, he co-founded Urban Company. At the helm of affairs, Mr. Khaitan has been instrumental in building Urban Company into a network of 40,000+ trained service professionals who have served over 5 million consumers across 35+ cities globally.

Prior to founding Urban Company, Mr. Khaitan was working at Qualcomm RnD in California and was a consultant with the Boston Consulting Group, where he advised Fortune 500 companies across geographies and industries. Mr. Khaitan is the three-time recipient of the Fortune 40 Under 40 Award (2021, 2019, and 2018). He was also awarded the Economic Times 40 Under 40 for the year 2019. He is also the recipient of the prestigious IITK Young Alumnus Award, 2021."
Mrs. Pooja Sankar,"Mrs. Pooja Sankar is the founder and CEO of Piazza Technologies Inc., a Palo Alto, California based social learning and recruiting platform for students. The company was borne out of the necessity to encourage peer learning in the education system. It is an online question-and-answer platform that connects students, TAs and professors thus providing intellectual space, freedom, or support to students to reach their maximum potential. Founded in 2009 and launched officially in January 2011 in the Stanford University campus, the platform is used today by approximately 30,000 educators and 1 million computer science, engineer, and math students across 1500 universities in 90 countries.Mrs. Pooja Sankar received her B.Tech. in Computer Science from IIT Kanpur in 2002. She later went to the USA for higher studies and obtained her master's degree in the same subject from the University of Maryland, College Park, in 2004. Following it, she began working at Oracle as a software developer. In October 2006, she joined Kosmix and served there till January 2008. For the next seven months, she worked with the news feed team of Facebook. She gained extensive knowledge and expertise while working as a developer and eventually caught up to where her male classmates were in their careers. ""I wish I could do this while I had the opportunity in school,"" says she.

Throughout her college days, she felt a sense of loneliness. Being one of only three girl students in her engineering class, she felt extremely shy to discuss computer problems with her male classmates. ""I would sit in a corner of the computer lab and work on the problems all alone. They would all talk to one another, ask each other questions, and learn a lot by working together. I missed out on this learning. What was worse was I wouldn't even get to the core of the learning that the professors intended for us since I was stuck on a nuance and couldn't complete the assignment."" It was while pursuing her MBA at Stanford University, she decided to create a solution to encourage peer learning in the collegiate system. As she started talking to her classmates, she gathered confidence that perhaps there are many such students who would be needing some help. In 2009, she created the first prototype of the Piazza platform.

Piazza is an online learning tool that connects students, TAs and professors thus enabling students to maximize their learning potential. It can be effectively used with existing learning management systems. By February 2010, Piazza was accessible to only Standford students and was used by approximately 600 of them. In January 2011, she opened it publically for all institutions following which Piazza reached over 330 schools and tens of thousands of students by the summer of the same year. Currently, Piazza is used by over 75% of Stanford, MIT, Cornell, Princeton, Berkeley, Georgia Tech, Harvard undergrads for their classes online for over two hours a night.



Pooja Sankar didn't stop there with Piazza's success as a learning platform. She started thinking of ways of using this platform as an effective employment portal as well which would benefit both the employer and the employee. To transform her dream into a reality, the company began targeting company recruiters in February 2014 enabling them to run targeted searches and send highly personalized messages to students based on their choice. The platform was upgraded and customized to act as an attractive tool for recruiters who are in search of competent and skillful candidates for their company. It also provides an add-on feature to recruiters to search specifically for female students, if they wish to. Additionally, Piazza conducts surveys among student users about where they would want to work. Nearly 250 companies, ranging from startups to established names, have already signed up for the service.

The platform is already linked to 100 sought-after employers like Airbnb, Yahoo!, VMware, Google, Cisco, Morgan Stanley, GoDaddy, Intuit, Juniper, Capital One, Pinterest, and Microsoft. In future, Piazza endeavors to bring more women into STEM fields while also tackling diversity issues in companies."
Mr. Rahul Gautam,"Mr. Rahul Gautam is the man behind the success of Sheela Foam, India's largest foam manufacturing company. Founded in 1971 along with his mother, the company scaled great heights under their able leadership. With 40+ years of experience in home products and the PU foam industry, the company today has global manufacturing units at multiple locations in India and Australia. Currently, Mr. Gautam is the Director of Sheela Foam and the Chairman of Joyce Pty Ltd., Australia. He primarily handles the Group's finance, JVs, and acquisitions. Honoring his entrepreneurial zeal and excellence, IIT Kanpur conferred upon him the prestigious Distinguished Alumnus Award 2017. ""More than the technical knowledge, it was grit, perseverance, and determination that was hugely learned here over a period of time and just seeped into your bloodstream,"" said Mr. Gautam about his alma mater's role in his success. He has also set up the Rahul and Namita Gautam Faculty Chair at the institute.Mr. Rahul Gautam received his B.Tech. in Chemical Engineering from IIT Kanpur in 1975 following which he obtained a master's degree in the same subject from Polytechnic Institute of New York, USA. By then, he was already a founding member of Sheela Foam, a foam manufacturing company that he founded in 1971 with his mother Ms. Sheela Gautam. ""The biggest problem in those days was getting a license and for us, it became slightly easier as my father was in the army. Once you had it, a lot of things became easier,"" said. Mr. Gautam. As he returned to India, he fully immersed himself in the operations of the company.

As the liberalization wave set in, the company began rapid country-wide expansion and launched the 'Sleepwell' brand, for bedding and furniture, in 1993. In another 3 years, the company set up units outside Delhi NCR. In 1999, it went global and tied up with two international units - Serta, USA and Dunlopillo, UK. The company kept scaling heights under his leadership and emerged as a leader in foam manufacturing in the country. In 2005, the company acquired Polyurethane Foam & Polystyrene of M/s. Joyce Foam, Australia; and entered into joint ventures with M/s. Woodbridge group, Canada, in 2006; and A.H. Beard, Australia, in 2008. All this while, the company won several laurels - Dataquest Business Technology Award, 2015; CIO 100 Hall of Fame, 2014; CNBC Nasscom IT user award, 2008 and many others. The year 2016 turned out to be very significant as Sheela Foam got listed on the Bombay Stock Exchange.



Mr. Gautam currently serves as the Director of Sheela Foam and the Chairman of Joyce Pty Ltd., Australia. He is the Chairman of the Polyurethane Association of India and has been instrumental in organizing the first Polyurethane Summit 'PUTECH-2005', October 2005, and then in March 2008. Besides the entrepreneurial endeavors, he is involved in philanthropic work in the areas of education (Him Jyoti School & Progress Alternatives) and sports (actively supporting talented tennis players). In 2015, the Sleepwell Foundation launched Sleepedia, an initiative to spread awareness about the importance of quality sleep as a means of good health and wellbeing. He also enjoys outdoor sports, books on management & philosophy, and Indian classical instrumental music."
Mr. Prashant Pathak,"Mr. Prashant Pathak, President and CEO of Ekagrata Inc., a principal investment company, is a leading name in Canada. Known for his expertise on international management and operations, strategy and product development, he has advised numerous global corporations on a wide range of operational issues across North America, South America and Europe. He also serves as the Managing Partner of ReichmannHauer Capital Partners, a Canadian private equity firm and Chairman of the Venture Capital and Investments Committee, BDC Venture Capital, Canada's largest VC program. The Government of Canada has also appointed Mr. Pathak on the Board of BDC (Business Development Bank of Canada). In 2008, he was listed as one of the Canada's Top 40 Under 40 by Caldwell Partners. ""If you can think unthinkable thoughts, you can do unthinkable things.""Mr. Prashant Pathak obtained his B.Tech. in Electrical Engineering from IIT Kanpur, where he won the best all-rounder student award of his batch. Further, he completed his MBA with distinction from INSEAD. He also pursued a diploma in fuzzy logic from IIT Kanpur.



Mr. Pathak relocated to Canada in 1998 and now lives in Toronto with his wife and children. He began his career with Halliburton India (HLSI) where he assisted in their upstream exploration business and spearheaded the special project team. Later, he joined Schlumberger Geco-Prakla and was responsible for overseeing the seismic navigation operations for Asia Pacific. After spending around seven years in the industry in multiple management and operations capacities at Halliburton and Schlumberger, he became a Partner at McKinsey & Company Inc. At McKinsey, he was responsible for leading the North American Telecom Practice, the Financial Services Practices and the Strategy & Corporate Finance Practice. He has also mentored accelerator and incubation program at the Singularity University Labs. Owing to his immense experience in international operations and relationship management, he has successfully helped several Canadian companies in building strong export and international linkages and has been quite instrumental in building bridges with Asian countries, especially in India and China.



Besides being an Indo-Canadian investor and a businessman, he is a philanthropist who actively contributes to several non-profit institutions and public causes. Currently, he is involved in a Project named Beyshick, a social venture capital fund initiative encouraging entrepreneurship among First Nations youths and communities to strengthen prosperity and financial independence. Prior to this, he provided his generous support for the successful implementation of UNICEF $3 million HIV/AIDS program campaign in Canada. He always endeavors to give back to the society by actively participating in various social activities and says, ""I essentially derive meaning from pursuing social activities that, at the core, enable young children and people to become more independent through entrepreneurship, innovation and technology."" In one of his interviews, he shared that the inspiration to work for the cause not the applause comes from his wife and children.

Mr. Pathak is on the boards of several community institutions and companies including the board of North York General Hospital and has worked as the Director of OSI Geospatial Inc. for a brief period. He is a distinguished alumnus of the core team of Vartana, a bank facilitating financial support to organizations, communities and individuals involved in charitable activities. He is a charter member of TiE (The Indus Entrepreneurs) and a member of the Young Presidents' Organization."
